GENUS,APGIII_FAMILY,STATUS
Brachymeniopsis,Funariaceae,Accepted by TPL
Brachymenium,Bryaceae,Accepted by TPL
Brachymitrion,Splachnaceae,Accepted by TPL
Brachynema,Olacaceae,Accepted by TPL
Brachyodon,Seligeriaceae,Accepted by TPL
Brachyodus,Seligeriaceae,Accepted by TPL
Brachyotum,Melastomataceae,Accepted by TPL
Brachypeza,Orchidaceae,Accepted by TPL
Brachyphragma,Fabaceae,Accepted by TPL
Brachypodium,Poaceae,Accepted by TPL
Brachypterum,Fabaceae,Unresolved at TPL
Brachypus,Brassicaceae,Unresolved at TPL
Brachyrhynchos,Asteraceae,Unresolved at TPL
Brachyris,Asteraceae,Unresolved at TPL
Brachyscias,Apiaceae,Accepted by TPL
Brachyscome,Asteraceae,Accepted by TPL
Brachysema,Fabaceae,Accepted by TPL
Brachysiphon,Penaeaceae,Accepted by TPL
Brachysola,Lamiaceae,Accepted by TPL
Brachysorus,Athyriaceae,Unresolved at TPL
Brachystachyum,Poaceae,Liu et al.(2015)
Brachystegia,Fabaceae,Accepted by TPL
Brachystele,Orchidaceae,Accepted by TPL
Brachysteleum,Ptychomitriaceae,Accepted by TPL
Brachystelma,Apocynaceae,Accepted by TPL
Brachystemma,Caryophyllaceae,Accepted by TPL
Brachystephanus,Acanthaceae,Accepted by TPL
Brachytheciaceae,Brachytheciaceae,Accepted by TPL
Brachytheciastrum,Brachytheciaceae,Accepted by TPL
Brachytheciella,Brachytheciaceae,Accepted by TPL
Brachythecium,Brachytheciaceae,Accepted by TPL
Brachythrix,Asteraceae,Accepted by TPL
Brachytome,Rubiaceae,Accepted by TPL
Brachytrichum,Orthotrichaceae,Accepted by TPL
Bracisepalum,Orchidaceae,Accepted by TPL
Brackenridgea,Ochnaceae,Accepted by TPL
Braconotia,Poaceae,Unresolved at TPL
Bracteanthus,Siparunaceae,Unresolved at TPL
Bractearia,Melastomataceae,Unresolved at TPL
Bradburia,Asteraceae,Accepted by TPL
Bradburya,Fabaceae,Accepted by TPL
Bradea,Rubiaceae,Accepted by TPL
Bradlea,Fabaceae,Accepted by TPL
Bradleia,Phyllanthaceae,Unresolved at TPL
Bradleja,Phyllanthaceae,Unresolved at TPL
Braemia,Orchidaceae,Accepted by TPL
Bragaia,Cactaceae,Accepted by TPL
Bragantia,Aristolochiaceae,Unresolved at TPL
Brahea,Arecaceae,Accepted by TPL
Brainea,Blechnaceae,Accepted by TPL
Braithwaitea,Hypnodendraceae,Accepted by TPL
Brami,Plantaginaceae,Unresolved at TPL
Brandegea,Cucurbitaceae,Accepted by TPL
Brandella,Boraginaceae,Accepted by TPL
Brandesia,Amaranthaceae,Unresolved at TPL
Brandisia,Orobanchaceae,Accepted by TPL
Brandzeia,Fabaceae,Accepted by TPL
Brasenia,Cabombaceae,Accepted by TPL
Brasilettia,Fabaceae,Accepted by TPL
Brasilia,Asteraceae,Accepted by TPL
Brasilicactus,Cactaceae,Accepted by TPL
Brasilicereus,Cactaceae,Accepted by TPL
Brasilidium,Orchidaceae,Unresolved at TPL
Brasiliocroton,Euphorbiaceae,Accepted by TPL
Brasiliopuntia,Cactaceae,Accepted by TPL
Brasiliorchis,Orchidaceae,Accepted by TPL
Brasiliparodia,Cactaceae,Unresolved at TPL
Brassaia,Araliaceae,Liu et al.(2015)
Brassaiopsis,Araliaceae,Accepted by TPL
Brassavola,Orchidaceae,Accepted by TPL
Brassia,Orchidaceae,Accepted by TPL
Brassiantha,Celastraceae,Accepted by TPL
Brassica,Brassicaceae,Accepted by TPL
Brassicaceae,Brassicaceae,Accepted by TPL
Brassiophoenix,Arecaceae,Accepted by TPL
Brassocattleya,Orchidaceae,Accepted by TPL
Brassocattleya,Orchidaceae,Unresolved at TPL
Brassolaeliocattleya,Orchidaceae,Liu et al.(2015)
Braunblanquetia,Scrophulariaceae,Unresolved at TPL
Braunea,Menispermaceae,Unresolved at TPL
Braunfelsia,Dicranaceae,Accepted by TPL
Braunia,Hedwigiaceae,Accepted by TPL
Braunsia,Aizoaceae,Accepted by TPL
Bravaisia,Acanthaceae,Accepted by TPL
Bravocactus,Cactaceae,Unresolved at TPL
Braxilia,Ericaceae,Unresolved at TPL
Braya,Brassicaceae,Accepted by TPL
Brayera,Rosaceae,Unresolved at TPL
Brayopsis,Brassicaceae,Accepted by TPL
Brazoria,Lamiaceae,Accepted by TPL
Brazzeia,Lecythidaceae,Accepted by TPL
Brebissonia,Onagraceae,Accepted by TPL
Bredemeyera,Polygalaceae,Accepted by TPL
Bredia,Melastomataceae,Accepted by TPL
Breea,Asteraceae,Accepted by TPL
Breidleria,Hypnaceae,Accepted by TPL
Breitungia,Crassulaceae,Unresolved at TPL
Bremekampia,Acanthaceae,Unresolved at TPL
Bremeria,Rubiaceae,Accepted by TPL
Brenandendron,Asteraceae,Accepted by TPL
Brenania,Rubiaceae,Accepted by TPL
Brenaniodendron,Fabaceae,Accepted by TPL
Brenierea,Fabaceae,Accepted by TPL
Breonadia,Rubiaceae,Accepted by TPL
Breonia,Rubiaceae,Accepted by TPL
Breteuillia,Asteraceae,Unresolved at TPL
Bretschneidera,Akaniaceae,Accepted by TPL
Breutelia,Bartramiaceae,Accepted by TPL
Brevianthaceae,Brevianthaceae,Accepted by TPL
Brevianthus,Brevianthaceae,Accepted by TPL
Breviea,Sapotaceae,Accepted by TPL
Brevoortia,Asparagaceae,Liu et al.(2015)
Brewcaria,Bromeliaceae,Accepted by TPL
Breweria,Convolvulaceae,Accepted by TPL
Breweriopsis,Convolvulaceae,Accepted by TPL
Brexia,Celastraceae,Accepted by TPL
Brexiella,Celastraceae,Accepted by TPL
Breynia,Phyllanthaceae,Accepted by TPL
Brezia,Amaranthaceae,Liu et al.(2015)
Brianhuntleya,Aizoaceae,Accepted by TPL
Brickellia,Asteraceae,Accepted by TPL
Brickelliastrum,Asteraceae,Accepted by TPL
Bridelia,Phyllanthaceae,Accepted by TPL
Bridgesia,Cactaceae,Accepted by TPL
Bridgesia,Sapindaceae,Accepted by TPL
Brigandra,Gesneriaceae,Unresolved at TPL
Briggsia,Gesneriaceae,Accepted by TPL
Briggsiopsis,Gesneriaceae,Accepted by TPL
Brighamia,Campanulaceae,Accepted by TPL
Brillantaisia,Acanthaceae,Accepted by TPL
Brimeura,Asparagaceae,Accepted by TPL
Brindonia,Clusiaceae,Unresolved at TPL
Brintonia,Asteraceae,Accepted by TPL
Briquetia,Malvaceae,Accepted by TPL
Brissonia,Fabaceae,Unresolved at TPL
Britoa,Myrtaceae,Accepted by TPL
Brittenia,Melastomataceae,Unresolved at TPL
Brittonella,Malpighiaceae,Unresolved at TPL
Brittonrosea,Cactaceae,Unresolved at TPL
Briza,Poaceae,Accepted by TPL
Brocchia,Asteraceae,Accepted by TPL
Brocchia,Simmondsiaceae,Unresolved at TPL
Brocchinia,Bromeliaceae,Accepted by TPL
Brochoneura,Myristicaceae,Accepted by TPL
Brockmania,Malvaceae,Unresolved at TPL
Brodiaea,Amaryllidaceae,Accepted by TPL
Brodiaea,Asparagaceae,Accepted by TPL
Brodriguesia,Fabaceae,Accepted by TPL
Bromelia,Bromeliaceae,Accepted by TPL
Bromeliaceae,Bromeliaceae,Accepted by TPL
Bromeliophila,Lejeuneaceae,Accepted by TPL
Bromheadia,Orchidaceae,Accepted by TPL
Bromofestuca,Poaceae,Accepted by TPL
Bromopsis,Poaceae,Accepted by TPL
Bromuniola,Poaceae,Accepted by TPL
Bromus,Poaceae,Accepted by TPL
Brongniartia,Fabaceae,Accepted by TPL
Bronnia,Fouquieriaceae,Unresolved at TPL
Bronwenia,Malpighiaceae,Accepted by TPL
Brookea,Plantaginaceae,Accepted by TPL
Brosimum,Moraceae,Accepted by TPL
Brossaea,Ericaceae,Unresolved at TPL
Brossardia,Brassicaceae,Unresolved at TPL
Broteroa,Asteraceae,Unresolved at TPL
Brothera,Dicranaceae,Accepted by TPL
Brotherella,Sematophyllaceae,Accepted by TPL
Brotherobryum,Dicranaceae,Accepted by TPL
Broughtonia,Orchidaceae,Accepted by TPL
Broussaisia,Hydrangeaceae,Accepted by TPL
Broussonetia,Moraceae,Accepted by TPL
Browallia,Solanaceae,Accepted by TPL
Brownea,Fabaceae,Accepted by TPL
Browneopsis,Fabaceae,Accepted by TPL
Browningia,Cactaceae,Accepted by TPL
Brownleea,Orchidaceae,Accepted by TPL
Brownlowia,Malvaceae,Accepted by TPL
Brucea,Simaroubaceae,Accepted by TPL
Bruchia,Bruchiaceae,Accepted by TPL
Bruchiaceae,Bruchiaceae,Accepted by TPL
Brugmansia,Solanaceae,Accepted by TPL
Brugmansia,Solanaceae,Unresolved at TPL
Bruguiera,Rhizophoraceae,Accepted by TPL
Bruguiera,Rhizophoraceae,Unresolved at TPL
Bruguieria,Rhizophoraceae,Accepted by TPL
Bruinsmia,Styracaceae,Accepted by TPL
Brunellia,Brunelliaceae,Accepted by TPL
Brunelliaceae,Brunelliaceae,Accepted by TPL
Brunfelsia,Solanaceae,Accepted by TPL
Brunia,Bruniaceae,Accepted by TPL
Bruniaceae,Bruniaceae,Accepted by TPL
Brunnera,Boraginaceae,Accepted by TPL
Brunnichia,Polygonaceae,Accepted by TPL
Brunonia,Goodeniaceae,Accepted by TPL
Brunoniella,Acanthaceae,Accepted by TPL
Brunserine,Amaryllidaceae,Unresolved at TPL
Brunsvigia,Amaryllidaceae,Accepted by TPL
Bruxanelia,Rubiaceae,Accepted by TPL
Brya,Fabaceae,Accepted by TPL
Brya,Chrysobalanaceae,Unresolved at TPL
Bryaceae,Bryaceae,Accepted by TPL
Bryantea,Lauraceae,Unresolved at TPL
Bryanthus,Ericaceae,Accepted by TPL
Bryantiella,Polemoniaceae,Accepted by TPL
Bryaspis,Fabaceae,Accepted by TPL
Bryhnia,Brachytheciaceae,Accepted by TPL
Brylkinia,Poaceae,Accepted by TPL
Brymela,Hookeriaceae,Accepted by TPL
Bryoacantholoma,Spiridentaceae,Accepted by TPL
Bryoandersonia,Brachytheciaceae,Accepted by TPL
Bryobartramia,Bryobartramiaceae,Accepted by TPL
Bryobartramiaceae,Bryobartramiaceae,Accepted by TPL
Bryobeckettia,Funariaceae,Accepted by TPL
Bryobium,Orchidaceae,Accepted by TPL
Bryobrittonia,Encalyptaceae,Accepted by TPL
Bryobrothera,Hookeriaceae,Accepted by TPL
Bryocarpum,Primulaceae,Accepted by TPL
Bryoceuthospora,Pottiaceae,Accepted by TPL
Bryochenea,Thuidiaceae,Accepted by TPL
Bryocrumia,Hypnaceae,Accepted by TPL
Bryodes,Plantaginaceae,Accepted by TPL
Bryodesma,Selaginellaceae,Accepted by TPL
Bryodixonia,Orthotrichaceae,Accepted by TPL
Bryodusenia,Meteoriaceae,Accepted by TPL
Bryoerythrophyllum,Pottiaceae,Accepted by TPL
Bryohaplocladium,Thuidiaceae,Accepted by TPL
Bryohumbertia,Dicranaceae,Accepted by TPL
Bryolawtonia,Thamnobryaceae,Accepted by TPL
Bryomaltaea,Orthotrichaceae,Accepted by TPL
Bryomanginia,Ditrichaceae,Accepted by TPL
Bryomnium,Splachnaceae,Accepted by TPL
Bryomorphe,Asteraceae,Accepted by TPL
Bryonia,Cucurbitaceae,Accepted by TPL
Bryonoguchia,Thuidiaceae,Accepted by TPL
Bryonorrisia,Leskeaceae,Accepted by TPL
Bryophyllum,Crassulaceae,Accepted by TPL
Bryopsis,Caryophyllaceae,Unresolved at TPL
Bryopteris,Lejeuneaceae,Accepted by TPL
Bryosedgwickia,Hypnaceae,Accepted by TPL
Bryostreimannia,Brachytheciaceae,Accepted by TPL
Bryotestua,Dicranaceae,Accepted by TPL
Bryowijkia,Trachypodaceae,Accepted by TPL
Bryoxiphiaceae,Bryoxiphiaceae,Accepted by TPL
Bryoxiphium,Bryoxiphiaceae,Accepted by TPL
Bryum,Bryaceae,Accepted by TPL
Bubbia,Winteraceae,Accepted by TPL
Bubbia,Winteraceae,Unresolved at TPL
Bubon,Apiaceae,Unresolved at TPL
Bucanion,Boraginaceae,Unresolved at TPL
Buccaferrea,Potamogetonaceae,Unresolved at TPL
Bucco,Rutaceae,Unresolved at TPL
Bucegia,Marchantiaceae,Accepted by TPL
Bucephalandra,Araceae,Accepted by TPL
Buceragenia,Acanthaceae,Unresolved at TPL
Buceras,Combretaceae,Unresolved at TPL
Buchanania,Anacardiaceae,Accepted by TPL
Bucharea,Convolvulaceae,Unresolved at TPL
Buchenavia,Combretaceae,Accepted by TPL
Buchenroedera,Fabaceae,Accepted by TPL
Buchholzia,Capparaceae,Accepted by TPL
Buchingera,Brassicaceae,Unresolved at TPL
Buchloe,Poaceae,Accepted by TPL
Buchlomimus,Poaceae,Accepted by TPL
Buchnera,Orobanchaceae,Accepted by TPL
Buchnerodendron,Achariaceae,Accepted by TPL
Bucholzia,Amaranthaceae,Unresolved at TPL
Buchtienia,Orchidaceae,Accepted by TPL
Bucida,Combretaceae,Accepted by TPL
Buckiella,Hypnaceae,Accepted by TPL
Buckinghamia,Proteaceae,Accepted by TPL
Bucklandiella,Grimmiaceae,Accepted by TPL
Buckleya,Santalaceae,Accepted by TPL
Buckollia,Apocynaceae,Accepted by TPL
Bucquetia,Melastomataceae,Accepted by TPL
Bucranion,Lentibulariaceae,Unresolved at TPL
Buda,Caryophyllaceae,Unresolved at TPL
Budawangia,Ericaceae,Accepted by TPL
Buddleja,Scrophulariaceae,Accepted by TPL
Buergeria,Magnoliaceae,Liu et al.(2015)
Buergersiochloa,Poaceae,Accepted by TPL
Buesia,Hymenophyllaceae,Accepted by TPL
Buesiella,Orchidaceae,Unresolved at TPL
Buffonia,Caryophyllaceae,Unresolved at TPL
Bufonia,Caryophyllaceae,Accepted by TPL
Buforrestia,Commelinaceae,Accepted by TPL
Buglossa,Boraginaceae,Unresolved at TPL
Buglossoides,Boraginaceae,Accepted by TPL
Bugranopsis,Fabaceae,Unresolved at TPL
Buhsia,Capparaceae,Unresolved at TPL
Buiningia,Cactaceae,Liu et al.(2015)
Bukiniczia,Plumbaginaceae,Accepted by TPL
Bulbine,Xanthorrhoeaceae,Accepted by TPL
Bulbinella,Xanthorrhoeaceae,Accepted by TPL
Bulbocastanum,Apiaceae,Unresolved at TPL
Bulbophyllum,Orchidaceae,Accepted by TPL
Bulbostylis,Asteraceae,Accepted by TPL
Bulbostylis,Cyperaceae,Accepted by TPL
Bulleyia,Orchidaceae,Accepted by TPL
Bulliarda,Crassulaceae,Unresolved at TPL
Bullockia,Rubiaceae,Accepted by TPL
Bulnesia,Zygophyllaceae,Accepted by TPL
Bumalda,Sapindaceae,Unresolved at TPL
Bumelia,Sapotaceae,Unresolved at TPL
Bunchosia,Malpighiaceae,Accepted by TPL
Bungarimba,Rubiaceae,Accepted by TPL
Bungea,Orobanchaceae,Accepted by TPL
Bunias,Brassicaceae,Accepted by TPL
Bunioseris,Asteraceae,Unresolved at TPL
Buniotrinia,Apiaceae,Unresolved at TPL
Bunium,Apiaceae,Accepted by TPL
Bupariti,Malvaceae,Unresolved at TPL
Buphthalmum,Asteraceae,Accepted by TPL
Bupleurum,Apiaceae,Accepted by TPL
Buprestis,Apiaceae,Unresolved at TPL
Burasaia,Menispermaceae,Accepted by TPL
Burbidgea,Zingiberaceae,Accepted by TPL
Burchardia,Colchicaceae,Accepted by TPL
Burchellia,Rubiaceae,Accepted by TPL
Burckella,Sapotaceae,Accepted by TPL
Burdachia,Malpighiaceae,Accepted by TPL
Burgesia,Fabaceae,Unresolved at TPL
Burkartia,Asteraceae,Accepted by TPL
Burkea,Fabaceae,Accepted by TPL
Burkillanthus,Rutaceae,Accepted by TPL
Burkilliodendron,Fabaceae,Accepted by TPL
Burlingtonia,Orchidaceae,Unresolved at TPL
Burmannia,Burmanniaceae,Accepted by TPL
Burmanniaceae,Burmanniaceae,Accepted by TPL
Burmeistera,Campanulaceae,Accepted by TPL
Burnatia,Alismataceae,Accepted by TPL
Burnettia,Orchidaceae,Accepted by TPL
Burnettia,Brachytheciaceae,Accepted by TPL
Burretiodendron,Malvaceae,Accepted by TPL
Burretiokentia,Arecaceae,Accepted by TPL
Bursa,Brassicaceae,Unresolved at TPL
Bursaria,Pittosporaceae,Accepted by TPL
Bursera,Burseraceae,Accepted by TPL
Burseraceae,Burseraceae,Accepted by TPL
Burtonia,Fabaceae,Accepted by TPL
Burttdavya,Rubiaceae,Accepted by TPL
Burttia,Connaraceae,Accepted by TPL
Busbeckea,Capparaceae,Unresolved at TPL
Bussea,Fabaceae,Accepted by TPL
Bustillosia,Apiaceae,Unresolved at TPL
Butea,Fabaceae,Accepted by TPL
Buteraea,Acanthaceae,Unresolved at TPL
Butia,Arecaceae,Accepted by TPL
Butomaceae,Butomaceae,Accepted by TPL
Butomopsis,Alismataceae,Accepted by TPL
Butomus,Butomaceae,Accepted by TPL
Buttonia,Orobanchaceae,Accepted by TPL
Butumia,Podostemaceae,Accepted by TPL
Butyagrus,Arecaceae,Accepted by TPL
Butyrospermum,Sapotaceae,Liu et al.(2015)
Buxaceae,Buxaceae,Accepted by TPL
Buxbaumia,Buxbaumiaceae,Accepted by TPL
Buxbaumiaceae,Buxbaumiaceae,Accepted by TPL
Buxiphyllum,Gesneriaceae,Liu et al.(2015)
Buxus,Buxaceae,Accepted by TPL
Byblidaceae,Byblidaceae,Accepted by TPL
Byblis,Byblidaceae,Accepted by TPL
Byrnesia,Crassulaceae,Liu et al.(2015)
Byronia,Aquifoliaceae,Liu et al.(2015)
Byrsanthus,Salicaceae,Accepted by TPL
Byrsocarpus,Connaraceae,Unresolved at TPL
Byrsonima,Malpighiaceae,Accepted by TPL
Byrsophyllum,Rubiaceae,Accepted by TPL
Byrsopteris,Dryopteridaceae,Accepted by TPL
Byssolejeunea,Lejeuneaceae,Unresolved at TPL
Bystropogon,Lamiaceae,Accepted by TPL
Bythophyton,Plantaginaceae,Accepted by TPL
Byttneria,Malvaceae,Accepted by TPL
Caatinganthus,Asteraceae,Accepted by TPL
Cabobanthus,Asteraceae,Accepted by TPL
Cabomba,Cabombaceae,Accepted by TPL
Cabombaceae,Cabombaceae,Accepted by TPL
Cabralea,Meliaceae,Accepted by TPL
Cabreriella,Asteraceae,Accepted by TPL
Cacabus,Solanaceae,Unresolved at TPL
Cacalia,Asteraceae,Accepted by TPL
Cacaliopsis,Asteraceae,Accepted by TPL
Cacara,Fabaceae,Unresolved at TPL
Caccinia,Boraginaceae,Accepted by TPL
Cachrys,Apiaceae,Accepted by TPL
Cacosmia,Asteraceae,Accepted by TPL
Cacoucia,Combretaceae,Unresolved at TPL
Cactaceae,Cactaceae,Accepted by TPL
Cactus,Cactaceae,Accepted by TPL
Cacuvallum,Fabaceae,Unresolved at TPL
Cadaba,Capparaceae,Accepted by TPL
Cadelium,Fabaceae,Unresolved at TPL
Cadellia,Surianaceae,Accepted by TPL
Cadetia,Orchidaceae,Unresolved at TPL
Cadia,Fabaceae,Accepted by TPL
Cadiscus,Asteraceae,Accepted by TPL
Caduciella,Leptodontaceae,Accepted by TPL
Caelestina,Asteraceae,Unresolved at TPL
Caelospermum,Rubiaceae,Accepted by TPL
Caenopteris,Aspleniaceae,Accepted by TPL
Caesalpinia,Fabaceae,Accepted by TPL
Caesarea,Vivianiaceae,Unresolved at TPL
Caesia,Xanthorrhoeaceae,Accepted by TPL
Caesulia,Asteraceae,Accepted by TPL
Cailliea,Fabaceae,Accepted by TPL
Cailliella,Melastomataceae,Unresolved at TPL
Caina,Loganiaceae,Unresolved at TPL
Caiophora,Loasaceae,Accepted by TPL
Cajan,Fabaceae,Unresolved at TPL
Cajanum,Fabaceae,Unresolved at TPL
Cajanus,Fabaceae,Accepted by TPL
Cakile,Brassicaceae,Accepted by TPL
Calacanthus,Acanthaceae,Accepted by TPL
Calacinum,Polygonaceae,Unresolved at TPL
Caladenia,Orchidaceae,Accepted by TPL
Caladium,Araceae,Accepted by TPL
Calais,Asteraceae,Accepted by TPL
Calamagrostis,Poaceae,Accepted by TPL
Calamaria,Isoëtaceae,Accepted by TPL
Calamicromeria,Lamiaceae,Unresolved at TPL
Calamintha,Lamiaceae,Unresolved at TPL
Calamistrum,Marsileaceae,Accepted by TPL
Calammophila,Poaceae,Accepted by TPL
Calamophyllum,Aizoaceae,Accepted by TPL
Calamovilfa,Poaceae,Accepted by TPL
Calamus,Arecaceae,Accepted by TPL
Calanchoe,Crassulaceae,Unresolved at TPL
Calandrinia,Portulacaceae,Accepted by TPL
Calandriniopsis,Montiaceae,Unresolved at TPL
Calanthe,Orchidaceae,Accepted by TPL
Calanthea,Capparaceae,Accepted by TPL
Calantica,Salicaceae,Accepted by TPL
Calanticaria,Asteraceae,Accepted by TPL
Calassodia,Orchidaceae,Accepted by TPL
Calathea,Marantaceae,Accepted by TPL
Calathiana,Gentianaceae,Unresolved at TPL
Calathodes,Ranunculaceae,Accepted by TPL
Calatholejeunea,Lejeuneaceae,Accepted by TPL
Calathostelma,Apocynaceae,Accepted by TPL
Calatola,Icacinaceae,Accepted by TPL
Calaunia,Moraceae,Accepted by TPL
Calcareoboea,Gesneriaceae,Accepted by TPL
Calceolaria,Calceolariaceae,Accepted by TPL
Calceolariaceae,Calceolariaceae,Accepted by TPL
Calcicola,Malpighiaceae,Accepted by TPL
Calciphilopteris,Pteridaceae,Accepted by TPL
Calcitrapa,Asteraceae,Accepted by TPL
Caldasia,Apiaceae,Unresolved at TPL
Caldcluvia,Cunoniaceae,Accepted by TPL
Caldenbachia,Acanthaceae,Unresolved at TPL
Calderonella,Poaceae,Accepted by TPL
Caldesia,Alismataceae,Accepted by TPL
Calea,Asteraceae,Accepted by TPL
Caleana,Orchidaceae,Accepted by TPL
Calectasia,Dasypogonaceae,Accepted by TPL
Calendula,Asteraceae,Accepted by TPL
Calepina,Brassicaceae,Accepted by TPL
Calesiam,Anacardiaceae,Unresolved at TPL
Calestania,Apiaceae,Unresolved at TPL
Calibanus,Asparagaceae,Accepted by TPL
Calibrachoa,Solanaceae,Accepted by TPL
Calicharis,Amaryllidaceae,Accepted by TPL
Calicorema,Amaranthaceae,Accepted by TPL
Calicotome,Fabaceae,Accepted by TPL
California,Geraniaceae,Accepted by TPL
Calimeris,Asteraceae,Accepted by TPL
Calinea,Dilleniaceae,Unresolved at TPL
Caliphruria,Amaryllidaceae,Accepted by TPL
Calispepla,Fabaceae,Accepted by TPL
Calius,Moraceae,Unresolved at TPL
Calla,Araceae,Accepted by TPL
Callaeum,Malpighiaceae,Accepted by TPL
Callerya,Fabaceae,Accepted by TPL
Callialaria,Amblystegiaceae,Accepted by TPL
Calliandra,Fabaceae,Accepted by TPL
Calliandropsis,Fabaceae,Accepted by TPL
Callianira,Piperaceae,Unresolved at TPL
Callianthemoides,Ranunculaceae,Accepted by TPL
Callianthemum,Ranunculaceae,Accepted by TPL
Calliaspidia,Acanthaceae,Liu et al.(2015)
Callibryon,Polytrichaceae,Accepted by TPL
Callicarpa,Lamiaceae,Accepted by TPL
Callicephalus,Asteraceae,Accepted by TPL
Callichilia,Apocynaceae,Accepted by TPL
Callichlamys,Bignoniaceae,Accepted by TPL
Callichroa,Asteraceae,Unresolved at TPL
Callicladium,Hypnaceae,Accepted by TPL
Callicoma,Cunoniaceae,Accepted by TPL
Callicornia,Asteraceae,Unresolved at TPL
Callicosta,Daltoniaceae,Accepted by TPL
Callicostella,Pilotrichaceae,Accepted by TPL
Callicostellopsis,Pilotrichaceae,Accepted by TPL
Callicysthus,Fabaceae,Unresolved at TPL
Calliergidium,Amblystegiaceae,Accepted by TPL
Calliergon,Amblystegiaceae,Accepted by TPL
Calliergonella,Hypnaceae,Accepted by TPL
Calligonum,Polygonaceae,Accepted by TPL
Callilepis,Asteraceae,Accepted by TPL
Callionia,Rosaceae,Unresolved at TPL
Calliopsis,Asteraceae,Unresolved at TPL
Callipeltis,Rubiaceae,Accepted by TPL
Callipteris,Athyriaceae,Accepted by TPL
Callirhoe,Malvaceae,Accepted by TPL
Callisemaea,Fabaceae,Unresolved at TPL
Callisia,Commelinaceae,Accepted by TPL
Callista,Orchidaceae,Accepted by TPL
Callistachys,Fabaceae,Accepted by TPL
Callistemon,Myrtaceae,Accepted by TPL
Callistephana,Fabaceae,Unresolved at TPL
Callistephus,Asteraceae,Accepted by TPL
Callisteris,Polemoniaceae,Unresolved at TPL
Callisthene,Vochysiaceae,Accepted by TPL
Callistigma,Aizoaceae,Unresolved at TPL
Callistopteris,Hymenophyllaceae,Unresolved at TPL
Callitriche,Plantaginaceae,Accepted by TPL
Callitris,Cupressaceae,Accepted by TPL
Callitropsis,Cupressaceae,Accepted by TPL
Callogramme,Pteridaceae,Unresolved at TPL
Callopsis,Araceae,Accepted by TPL
Callostylis,Orchidaceae,Accepted by TPL
Callothlaspi,Brassicaceae,Unresolved at TPL
Calluna,Ericaceae,Accepted by TPL
Calobota,Fabaceae,Unresolved at TPL
Calobryum,Haplomitriaceae,Accepted by TPL
Calocarpum,Sapotaceae,Unresolved at TPL
Calocedrus,Cupressaceae,Accepted by TPL
Calocephalus,Asteraceae,Accepted by TPL
Calochilus,Orchidaceae,Accepted by TPL
Calochlaena,Dicksoniaceae,Accepted by TPL
Calochone,Rubiaceae,Accepted by TPL
Calochortus,Liliaceae,Accepted by TPL
Calocrater,Apocynaceae,Accepted by TPL
Calodecaryia,Meliaceae,Accepted by TPL
Calodendrum,Rutaceae,Accepted by TPL
Calodryum,Meliaceae,Unresolved at TPL
Calogyne,Goodeniaceae,Unresolved at TPL
Calohypnum,Hypnaceae,Accepted by TPL
Calolisianthus,Gentianaceae,Unresolved at TPL
Calomeria,Asteraceae,Accepted by TPL
Calomniaceae,Calomniaceae,Accepted by TPL
Calomnion,Calomniaceae,Accepted by TPL
Caloncoba,Achariaceae,Accepted by TPL
Calonema,Orchidaceae,Accepted by TPL
Calonyction,Convolvulaceae,Unresolved at TPL
Calopappus,Asteraceae,Accepted by TPL
Calophaca,Fabaceae,Accepted by TPL
Calophanes,Acanthaceae,Unresolved at TPL
Calophanoides,Acanthaceae,Unresolved at TPL
Calophylica,Rhamnaceae,Unresolved at TPL
Calophyllaceae,Calophyllaceae,Accepted by TPL
Calophyllum,Clusiaceae,Accepted by TPL
Calophyllum,Calophyllaceae,Unresolved at TPL
Calophysa,Melastomataceae,Accepted by TPL
Calopogon,Orchidaceae,Accepted by TPL
Calopogonium,Fabaceae,Accepted by TPL
Calopteryx,Ericaceae,Accepted by TPL
Calopyxis,Combretaceae,Unresolved at TPL
Calorezia,Asteraceae,Unresolved at TPL
Calorhabdos,Plantaginaceae,Unresolved at TPL
Calorophus,Restionaceae,Accepted by TPL
Caloscordum,Amaryllidaceae,Liu et al.(2015)
Calosmon,Lauraceae,Unresolved at TPL
Calostemma,Amaryllidaceae,Accepted by TPL
Calostephane,Asteraceae,Accepted by TPL
Calostigma,Apocynaceae,Accepted by TPL
Calotesta,Asteraceae,Accepted by TPL
Calothamnus,Myrtaceae,Accepted by TPL
Calotis,Asteraceae,Accepted by TPL
Calotropis,Apocynaceae,Accepted by TPL
Calpandria,Theaceae,Unresolved at TPL
Calpidia,Nyctaginaceae,Unresolved at TPL
Calpidisca,Lentibulariaceae,Unresolved at TPL
Calpidochlamys,Moraceae,Unresolved at TPL
Calpidosicyos,Cucurbitaceae,Unresolved at TPL
Calpocalyx,Fabaceae,Accepted by TPL
Calpurnia,Fabaceae,Accepted by TPL
Calsiama,Anacardiaceae,Unresolved at TPL
Caltha,Ranunculaceae,Accepted by TPL
Calucechinus,Fagaceae,Unresolved at TPL
Caluera,Orchidaceae,Accepted by TPL
Calvaria,Sapotaceae,Unresolved at TPL
Calvelia,Amaranthaceae,Unresolved at TPL
Calvoa,Melastomataceae,Accepted by TPL
Calycacanthus,Acanthaceae,Accepted by TPL
Calycadenia,Asteraceae,Accepted by TPL
