GENUS,APGIII_FAMILY,STATUS
Achimenes,Gesneriaceae,Accepted by TPL
Achlyphila,Xyridaceae,Accepted by TPL
Achlys,Berberidaceae,Accepted by TPL
Achnatherum,Poaceae,Accepted by TPL
Achnella,Poaceae,Unresolved at TPL
Achneria,Poaceae,Unresolved at TPL
Achnophora,Asteraceae,Accepted by TPL
Achnopogon,Asteraceae,Accepted by TPL
Achomanes,Hymenophyllaceae,Unresolved at TPL
Achoriphragma,Brassicaceae,Unresolved at TPL
Achras,Sapotaceae,Unresolved at TPL
Achrophyllum,Hookeriaceae,Accepted by TPL
Achuaria,Rutaceae,Accepted by TPL
Achudemia,Urticaceae,Accepted by TPL
Achymus,Moraceae,Unresolved at TPL
Achyrachaena,Asteraceae,Accepted by TPL
Achyranthes,Amaranthaceae,Accepted by TPL
Achyrocalyx,Acanthaceae,Accepted by TPL
Achyrocline,Asteraceae,Accepted by TPL
Achyronia,Fabaceae,Accepted by TPL
Achyronychia,Caryophyllaceae,Accepted by TPL
Achyropappus,Asteraceae,Accepted by TPL
Achyrophorus,Asteraceae,Accepted by TPL
Achyrophyllum,Ptychomniaceae,Accepted by TPL
Achyropsis,Amaranthaceae,Accepted by TPL
Achyrospermum,Lamiaceae,Accepted by TPL
Aciachne,Poaceae,Accepted by TPL
Acianthera,Orchidaceae,Accepted by TPL
Acianthus,Orchidaceae,Accepted by TPL
Acicarpha,Calyceraceae,Accepted by TPL
Acidanthera,Iridaceae,Accepted by TPL
Acidocroton,Euphorbiaceae,Accepted by TPL
Acidodontium,Bryaceae,Accepted by TPL
Acidonia,Proteaceae,Accepted by TPL
Acidosasa,Poaceae,Accepted by TPL
Acidoton,Euphorbiaceae,Accepted by TPL
Acilepidopsis,Asteraceae,Accepted by TPL
Acilepis,Asteraceae,Accepted by TPL
Acineta,Orchidaceae,Accepted by TPL
Acinodendron,Melastomataceae,Accepted by TPL
Acinolis,Melastomataceae,Unresolved at TPL
Acinos,Lamiaceae,Accepted by TPL
Acioa,Chrysobalanaceae,Accepted by TPL
Aciotis,Melastomataceae,Accepted by TPL
Acipetalum,Melastomataceae,Unresolved at TPL
Aciphylla,Apiaceae,Accepted by TPL
Acirostrum,Brassicaceae,Liu et al.(2015)
Acis,Amaryllidaceae,Accepted by TPL
Acisanthera,Melastomataceae,Accepted by TPL
Ackama,Cunoniaceae,Unresolved at TPL
Acleisanthes,Nyctaginaceae,Accepted by TPL
Aclisia,Commelinaceae,Unresolved at TPL
Acmadenia,Rutaceae,Accepted by TPL
Acmanthera,Malpighiaceae,Accepted by TPL
Acmella,Asteraceae,Accepted by TPL
Acmena,Myrtaceae,Unresolved at TPL
Acmenosperma,Myrtaceae,Liu et al.(2015)
Acmispon,Fabaceae,Accepted by TPL
Acmopyle,Podocarpaceae,Accepted by TPL
Acnida,Amaranthaceae,Accepted by TPL
Acnistus,Solanaceae,Accepted by TPL
Acoelorraphe,Arecaceae,Liu et al.(2015)
Acoelorrhaphe,Arecaceae,Accepted by TPL
Acokanthera,Apocynaceae,Accepted by TPL
Acolea,Gymnomitriaceae,Accepted by TPL
Acomastylis,Rosaceae,Unresolved at TPL
Acome,Capparaceae,Accepted by TPL
Acomis,Asteraceae,Accepted by TPL
Aconiopteris,Dryopteridaceae,Unresolved at TPL
Aconitella,Ranunculaceae,Unresolved at TPL
Aconitum,Ranunculaceae,Accepted by TPL
Aconogonon,Polygonaceae,Unresolved at TPL
Aconogonum,Polygonaceae,Accepted by TPL
Acontias,Araceae,Unresolved at TPL
Acophorum,Poaceae,Unresolved at TPL
Acoraceae,Acoraceae,Accepted by TPL
Acoridium,Orchidaceae,Unresolved at TPL
Acorus,Acoraceae,Accepted by TPL
Acosmia,Caryophyllaceae,Unresolved at TPL
Acosmium,Fabaceae,Accepted by TPL
Acosmus,Malpighiaceae,Unresolved at TPL
Acosta,Hypnaceae,Accepted by TPL
Acosta,Asteraceae,Unresolved at TPL
Acostia,Poaceae,Accepted by TPL
Acourtia,Asteraceae,Accepted by TPL
Acrachne,Poaceae,Accepted by TPL
Acradenia,Rutaceae,Accepted by TPL
Acranthera,Rubiaceae,Accepted by TPL
Acridocarpus,Malpighiaceae,Accepted by TPL
Acrilia,Meliaceae,Unresolved at TPL
Acriopsis,Orchidaceae,Accepted by TPL
