APGIII_FAMILY,APGIII_ORDER,APGIII_NUMBER,GROUP
Aspalathaceae,Fabales,NA,Bryophytes
Astragalaceae,Fabales,NA,Bryophytes
Bauhiniaceae,Fabales,NA,Bryophytes
Caesalpiniaceae,Fabales,NA,Bryophytes
Cassiaceae,Fabales,NA,Bryophytes
Ceratoniaceae,Fabales,NA,Bryophytes
Ciceraceae,Fabales,NA,Bryophytes
Coronillaceae,Fabales,NA,Bryophytes
Dalbergiaceae,Fabales,NA,Bryophytes
Daleaceae,Fabales,NA,Bryophytes
Detariaceae,Fabales,NA,Bryophytes
Diclidantheraceae,Fabales,NA,Bryophytes
Galedupaceae,Fabales,NA,Bryophytes
Geoffroeaceae,Fabales,NA,Bryophytes
Hedysaraceae,Fabales,NA,Bryophytes
Inocarpaceae,Fabales,NA,Bryophytes
Leguminosae,Fabales,NA,Bryophytes
Lotaceae,Fabales,NA,Bryophytes
Mimosaceae,Fabales,NA,Bryophytes
Moutabeaceae,Fabales,NA,Bryophytes
Papilionaceae,Fabales,NA,Bryophytes
Phaseolaceae,Fabales,NA,Bryophytes
Stylobasiaceae,Fabales,NA,Bryophytes
Swartziaceae,Fabales,NA,Bryophytes
Tamarindaceae,Fabales,NA,Bryophytes
Trifoliaceae,Fabales,NA,Bryophytes
Viciaceae,Fabales,NA,Bryophytes
Xanthophyllaceae,Fabales,NA,Bryophytes
Canacomyricaceae,Fagales,NA,Bryophytes
Carpinaceae,Fagales,NA,Bryophytes
Castaneaceae,Fagales,NA,Bryophytes
Corylaceae,Fagales,NA,Bryophytes
Engelhardtiaceae,Fagales,NA,Bryophytes
Platycaryaceae,Fagales,NA,Bryophytes
Quercaceae,Fagales,NA,Bryophytes
Rhoipteleaceae,Fagales,NA,Bryophytes
Bogutchanthaceae,fossil_Hamamelidales,NA,Bryophytes
Sarbaicarpaceae,"fossilSarbaicarpales,??near""Hamamelidales""",NA,Bryophytes
Kasicarpaceae,fossilSarbaicarpales_near_Hamamelidales,NA,Bryophytes
Aucubaceae,Garryales,NA,Bryophytes
Antoniaceae,Gentianales,NA,Bryophytes
Aparinaceae,Gentianales,NA,Bryophytes
Asclepiadaceae,Gentianales,NA,Bryophytes
Asperulaceae,Gentianales,NA,Bryophytes
Carissaceae,Gentianales,NA,Bryophytes
Catesbaeaceae,Gentianales,NA,Bryophytes
Cephalanthaceae,Gentianales,NA,Bryophytes
Cerberaceae,Gentianales,NA,Bryophytes
Chironiaceae,Gentianales,NA,Bryophytes
Cinchoniaceae,Gentianales,NA,Bryophytes
Coffeaceae,Gentianales,NA,Bryophytes
Coutariaceae,Gentianales,NA,Bryophytes
Coutoubeaceae,Gentianales,NA,Bryophytes
Cynanchaceae,Gentianales,NA,Bryophytes
Cynocrambaceae,Gentianales,NA,Bryophytes
Dialypetalanthaceae,Gentianales,NA,Bryophytes
Galiaceae,Gentianales,NA,Bryophytes
Gardeniaceae,Gentianales,NA,Bryophytes
Gardneriaceae,Gentianales,NA,Bryophytes
Geniostomataceae,Gentianales,NA,Bryophytes
Guettardaceae,Gentianales,NA,Bryophytes
Hameliaceae,Gentianales,NA,Bryophytes
Hedyotidaceae,Gentianales,NA,Bryophytes
Henriqueziaceae,Gentianales,NA,Bryophytes
Houstoniaceae,Gentianales,NA,Bryophytes
Hydrophylacaceae,Gentianales,NA,Bryophytes
Lippayaceae,Gentianales,NA,Bryophytes
Lygodisodeaceae,Gentianales,NA,Bryophytes
Naucleaceae,Gentianales,NA,Bryophytes
Nonateliaceae,Gentianales,NA,Bryophytes
Obolariaceae,Gentianales,NA,Bryophytes
Operculariaceae,Gentianales,NA,Bryophytes
Ophioxylaceae,Gentianales,NA,Bryophytes
Pacouriaceae,Gentianales,NA,Bryophytes
Pagamaeaceae,Gentianales,NA,Bryophytes
Periplocaceae,Gentianales,NA,Bryophytes
Plumeriaceae,Gentianales,NA,Bryophytes
Potaliaceae,Gentianales,NA,Bryophytes
Psychotriaceae,Gentianales,NA,Bryophytes
Pteleocarpaceae,Gentianales,NA,Bryophytes
Randiaceae,Gentianales,NA,Bryophytes
Sabiceaceae,Gentianales,NA,Bryophytes
Saccifoliaceae,Gentianales,NA,Bryophytes
Spermacoceaceae,Gentianales,NA,Bryophytes
Spigeliaceae,Gentianales,NA,Bryophytes
Stapeliaceae,Gentianales,NA,Bryophytes
Strychnaceae,Gentianales,NA,Bryophytes
Theligonaceae,Gentianales,NA,Bryophytes
Vincaceae,Gentianales,NA,Bryophytes
Willughbieaceae,Gentianales,NA,Bryophytes
Bersamaceae,Geraniales,NA,Bryophytes
Erodiaceae,Geraniales,NA,Bryophytes
Francoaceae,Geraniales,NA,Bryophytes
Greyiaceae,Geraniales,NA,Bryophytes
Hypseocharitaceae,Geraniales,NA,Bryophytes
Ledocarpaceae,Geraniales,NA,Bryophytes
Rhynchothecaceae,Geraniales,NA,Bryophytes
Ephedraceae,Gnetales,NA,Bryophytes
Thoaceae,Gnetales,NA,Bryophytes
Tumboaceae,Gnetales,NA,Bryophytes
Huerteaceae,Huerteales,NA,Bryophytes
Petenaeaceae,Huerteales,NA,Bryophytes
Aeginetiaceae,Lamiales,NA,Bryophytes
Aegiphilaceae,Lamiales,NA,Bryophytes
Ajugaceae,Lamiales,NA,Bryophytes
Antirrhinaceae,Lamiales,NA,Bryophytes
Aragoaceae,Lamiales,NA,Bryophytes
Avicenniaceae,Lamiales,NA,Bryophytes
Belloniaceae,Lamiales,NA,Bryophytes
Besleriaceae,Lamiales,NA,Bryophytes
Bolivaraceae,Lamiales,NA,Bryophytes
Bontiaceae,Lamiales,NA,Bryophytes
Buchneraceae,Lamiales,NA,Bryophytes
Buddlejaceae,Lamiales,NA,Bryophytes
Callitrichaceae,Lamiales,NA,Bryophytes
Caprariaceae,Lamiales,NA,Bryophytes
Chelonaceae,Lamiales,NA,Bryophytes
Chloanthaceae,Lamiales,NA,Bryophytes
Crescentiaceae,Lamiales,NA,Bryophytes
Cyclocheilaceae,Lamiales,NA,Bryophytes
Cyrtandraceae,Lamiales,NA,Bryophytes
Dicrastylidiaceae,Lamiales,NA,Bryophytes
Didymocarpaceae,Lamiales,NA,Bryophytes
Digitalidaceae,Lamiales,NA,Bryophytes
Durantaceae,Lamiales,NA,Bryophytes
Ellisiophyllaceae,Lamiales,NA,Bryophytes
Erinaceae,Lamiales,NA,Bryophytes
Euphrasiaceae,Lamiales,NA,Bryophytes
Forestieraceae,Lamiales,NA,Bryophytes
Fraxinaceae,Lamiales,NA,Bryophytes
Glechomaceae,Lamiales,NA,Bryophytes
Globulariaceae,Lamiales,NA,Bryophytes
Gratiolaceae,Lamiales,NA,Bryophytes
Hallieraceae,Lamiales,NA,Bryophytes
Hebenstretiaceae,Lamiales,NA,Bryophytes
Hemimeridaceae,Lamiales,NA,Bryophytes
Hippuridaceae,Lamiales,NA,Bryophytes
Jasminiaceae,Lamiales,NA,Bryophytes
Justiciaceae,Lamiales,NA,Bryophytes
Labiatae,Lamiales,NA,Bryophytes
Lantanaceae,Lamiales,NA,Bryophytes
Ligustraceae,Lamiales,NA,Bryophytes
Limosellaceae,Lamiales,NA,Bryophytes
Linariaceae,Lamiales,NA,Bryophytes
Lindenbergiaceae,Lamiales,NA,Bryophytes
Littorellaceae,Lamiales,NA,Bryophytes
Mazacaceae,Lamiales,NA,Bryophytes
Melampyraceae,Lamiales,NA,Bryophytes
Melittidaceae,Lamiales,NA,Bryophytes
Mendonciaceae,Lamiales,NA,Bryophytes
Menthaceae,Lamiales,NA,Bryophytes
Meyeniaceae,Lamiales,NA,Bryophytes
Monardaceae,Lamiales,NA,Bryophytes
Myoporaceae,Lamiales,NA,Bryophytes
Nelsoniaceae,Lamiales,NA,Bryophytes
Nepetaceae,Lamiales,NA,Bryophytes
Nesogenaceae,Lamiales,NA,Bryophytes
Nyctanthaceae,Lamiales,NA,Bryophytes
Oftiaceae,Lamiales,NA,Bryophytes
Oxycladaceae,Lamiales,NA,Bryophytes
Pedicularidaceae,Lamiales,NA,Bryophytes
Petreaceae,Lamiales,NA,Bryophytes
Phelypaeaceae,Lamiales,NA,Bryophytes
Pinguiculaceae,Lamiales,NA,Bryophytes
Psylliaceae,Lamiales,NA,Bryophytes
Ramondaceae,Lamiales,NA,Bryophytes
Rehmanniaceae,Lamiales,NA,Bryophytes
Retziaceae,Lamiales,NA,Bryophytes
Rhinanthaceae,Lamiales,NA,Bryophytes
Salazariaceae,Lamiales,NA,Bryophytes
Salviaceae,Lamiales,NA,Bryophytes
Saturejaceae,Lamiales,NA,Bryophytes
Schreberaceae,Lamiales,NA,Bryophytes
Scopariaceae,Lamiales,NA,Bryophytes
Scutellariaceae,Lamiales,NA,Bryophytes
Selaginaceae,Lamiales,NA,Bryophytes
Sesamaceae,Lamiales,NA,Bryophytes
Sibthorpiaceae,Lamiales,NA,Bryophytes
Siphonanthaceae,Lamiales,NA,Bryophytes
Stachydaceae,Lamiales,NA,Bryophytes
Symphoremataceae,Lamiales,NA,Bryophytes
Syringaceae,Lamiales,NA,Bryophytes
Thunbergiaceae,Lamiales,NA,Bryophytes
Trapellaceae,Lamiales,NA,Bryophytes
Utriculariaceae,Lamiales,NA,Bryophytes
Verbascaceae,Lamiales,NA,Bryophytes
Veronicaceae,Lamiales,NA,Bryophytes
Viticaceae,Lamiales,NA,Bryophytes
Butneriaceae,Laurales,NA,Bryophytes
Cassythaceae,Laurales,NA,Bryophytes
Chimonanthaceae,Laurales,NA,Bryophytes
Gyrocarpaceae,Laurales,NA,Bryophytes
Hortoniaceae,Laurales,NA,Bryophytes
Idiospermaceae,Laurales,NA,Bryophytes
Illigeraceae,Laurales,NA,Bryophytes
Perseaceae,Laurales,NA,Bryophytes
Bulbocodiaceae,Liliales,NA,Bryophytes
Burchardiaceae,Liliales,NA,Bryophytes
Calochortaceae,Liliales,NA,Bryophytes
Chionographidaceae,Liliales,NA,Bryophytes
Compsoaceae,Liliales,NA,Bryophytes
Erythroniaceae,Liliales,NA,Bryophytes
Fritillariaceae,Liliales,NA,Bryophytes
Heloniadaceae,Liliales,NA,Bryophytes
Lapageriaceae,Liliales,NA,Bryophytes
Liriaceae,Liliales,NA,Bryophytes
Luzuriagaceae,Liliales,NA,Bryophytes
Medeolaceae,Liliales,NA,Bryophytes
Merenderaceae,Liliales,NA,Bryophytes
Paridaceae,Liliales,NA,Bryophytes
Rhipogonaceae,Liliales,NA,Bryophytes
Scoliopaceae,Liliales,NA,Bryophytes
Tricyrtidaceae,Liliales,NA,Bryophytes
Trilliaceae,Liliales,NA,Bryophytes
Tulipaceae,Liliales,NA,Bryophytes
Uvulariaceae,Liliales,NA,Bryophytes
Veratraceae,Liliales,NA,Bryophytes
Xerophyllaceae,Liliales,NA,Bryophytes
Hornschuchiaceae,Magnoliales,NA,Bryophytes
Liriodendraceae,Magnoliales,NA,Bryophytes
Monodoraceae,Magnoliales,NA,Bryophytes
Acalyphaceae,Malpighiales,NA,Bryophytes
Alsodeiaceae,Malpighiales,NA,Bryophytes
Androstachyaceae,Malpighiales,NA,Bryophytes
Antidesmataceae,Malpighiales,NA,Bryophytes
Aporusaceae,Malpighiales,NA,Bryophytes
Ascyraceae,Malpighiales,NA,Bryophytes
Bembiciaceae,Malpighiales,NA,Bryophytes
Bertyaceae,Malpighiales,NA,Bryophytes
Bischofiaceae,Malpighiales,NA,Bryophytes
Cambogiaceae,Malpighiales,NA,Bryophytes
Cassipoureaceae,Malpighiales,NA,Bryophytes
Chailletiaceae,Malpighiales,NA,Bryophytes
Cheilosaceae,Malpighiales,NA,Bryophytes
Crotonaceae,Malpighiales,NA,Bryophytes
Cryptaceae,Malpighiales,NA,Bryophytes
Erythrospermaceae,Malpighiales,NA,Bryophytes
Euthemidaceae,Malpighiales,NA,Bryophytes
Flacourtiaceae,Malpighiales,NA,Bryophytes
Garciniaceae,Malpighiales,NA,Bryophytes
Gomphiaceae,Malpighiales,NA,Bryophytes
Guttiferae,Malpighiales,NA,Bryophytes
Hippomanaceae,Malpighiales,NA,Bryophytes
Hirtellaceae,Malpighiales,NA,Bryophytes
Homaliaceae,Malpighiales,NA,Bryophytes
Hugoniaceae,Malpighiales,NA,Bryophytes
Hymenocardiaceae,Malpighiales,NA,Bryophytes
Ionidiaceae,Malpighiales,NA,Bryophytes
Kiggelariaceae,Malpighiales,NA,Bryophytes
Legnotidaceae,Malpighiales,NA,Bryophytes
Leoniaceae,Malpighiales,NA,Bryophytes
Licaniaceae,Malpighiales,NA,Bryophytes
Lophiraceae,Malpighiales,NA,Bryophytes
Luxemburgiaceae,Malpighiales,NA,Bryophytes
Macarisiaceae,Malpighiales,NA,Bryophytes
Malesherbiaceae,Malpighiales,NA,Bryophytes
Mangiaceae,Malpighiales,NA,Bryophytes
Marathraceae,Malpighiales,NA,Bryophytes
Medusagynaceae,Malpighiales,NA,Bryophytes
Mercurialaceae,Malpighiales,NA,Bryophytes
Micrantheaceae,Malpighiales,NA,Bryophytes
Modeccaceae,Malpighiales,NA,Bryophytes
Nectaropetalaceae,Malpighiales,NA,Bryophytes
Paivaeusaceae,Malpighiales,NA,Bryophytes
Pangiaceae,Malpighiales,NA,Bryophytes
Paropsiaceae,Malpighiales,NA,Bryophytes
Peraceae,Malpighiales,NA,Bryophytes
Philocrenaceae,Malpighiales,NA,Bryophytes
Piriquetaceae,Malpighiales,NA,Bryophytes
Poliothyrsidaceae,Malpighiales,NA,Bryophytes
Porantheraceae,Malpighiales,NA,Bryophytes
Prockiaceae,Malpighiales,NA,Bryophytes
Pseudanthaceae,Malpighiales,NA,Bryophytes
Quiinaceae,Malpighiales,NA,Bryophytes
Ricinaceae,Malpighiales,NA,Bryophytes
Ricinocarpaceae,Malpighiales,NA,Bryophytes
Samydaceae,Malpighiales,NA,Bryophytes
Sauvagesiaceae,Malpighiales,NA,Bryophytes
Scepaceae,Malpighiales,NA,Bryophytes
Scyphostegiaceae,Malpighiales,NA,Bryophytes
Smeathmanniaceae,Malpighiales,NA,Bryophytes
Stilaginaceae,Malpighiales,NA,Bryophytes
Tithymalaceae,Malpighiales,NA,Bryophytes
Tragiaceae,Malpighiales,NA,Bryophytes
Trewiaceae,Malpighiales,NA,Bryophytes
Tristichaceae,Malpighiales,NA,Bryophytes
Turneraceae,Malpighiales,NA,Bryophytes
Uapacaceae,Malpighiales,NA,Bryophytes
Aquilariaceae,Malvales,NA,Bryophytes
Berryaceae,Malvales,NA,Bryophytes
Bombacaceae,Malvales,NA,Bryophytes
Brownlowiaceae,Malvales,NA,Bryophytes
Byttneriaceae,Malvales,NA,Bryophytes
Cacaoaceae,Malvales,NA,Bryophytes
Chiranthodendraceae,Malvales,NA,Bryophytes
Chlaenaceae,Malvales,NA,Bryophytes
Cochlospermaceae,Malvales,NA,Bryophytes
Daphnaceae,Malvales,NA,Bryophytes
Diegodendraceae,Malvales,NA,Bryophytes
Dombeyaceae,Malvales,NA,Bryophytes
Durionaceae,Malvales,NA,Bryophytes
Gnidiaceae,Malvales,NA,Bryophytes
Gonystylaceae,Malvales,NA,Bryophytes
Grewiaceae,Malvales,NA,Bryophytes
Grielaceae,Malvales,NA,Bryophytes
Helianthemaceae,Malvales,NA,Bryophytes
Helicteraceae,Malvales,NA,Bryophytes
Hermanniaceae,Malvales,NA,Bryophytes
Hibiscaceae,Malvales,NA,Bryophytes
Lasiopetalaceae,Malvales,NA,Bryophytes
Melochiaceae,Malvales,NA,Bryophytes
Monotaceae,Malvales,NA,Bryophytes
Pentapetaceae,Malvales,NA,Bryophytes
Phaleriaceae,Malvales,NA,Bryophytes
Philippodendraceae,Malvales,NA,Bryophytes
Plagianthaceae,Malvales,NA,Bryophytes
Rhodolaenaceae,Malvales,NA,Bryophytes
Rhopalocarpaceae,Malvales,NA,Bryophytes
Schizolaenaceae,Malvales,NA,Bryophytes
Sidaceae,Malvales,NA,Bryophytes
Sparmanniaceae,Malvales,NA,Bryophytes
Sterculiaceae,Malvales,NA,Bryophytes
Tepuianthaceae,Malvales,NA,Bryophytes
Theobromataceae,Malvales,NA,Bryophytes
Tiliaceae,Malvales,NA,Bryophytes
Triplobaceae,Malvales,NA,Bryophytes
Triplochitonaceae,Malvales,NA,Bryophytes
Ammanniaceae,Myrtales,NA,Bryophytes
Baeckeaceae,Myrtales,NA,Bryophytes
Blakeaceae,Myrtales,NA,Bryophytes
Blattiaceae,Myrtales,NA,Bryophytes
Bucidaceae,Myrtales,NA,Bryophytes
Chamelauciaceae,Myrtales,NA,Bryophytes
Circaeaceae,Myrtales,NA,Bryophytes
Duabangaceae,Myrtales,NA,Bryophytes
Epilobiaceae,Myrtales,NA,Bryophytes
Eugeniaceae,Myrtales,NA,Bryophytes
Fuchsiaceae,Myrtales,NA,Bryophytes
Henslowiaceae,Myrtales,NA,Bryophytes
Heteropyxidaceae,Myrtales,NA,Bryophytes
Isnardiaceae,Myrtales,NA,Bryophytes
Jussiaeaceae,Myrtales,NA,Bryophytes
Kaniaceae,Myrtales,NA,Bryophytes
Lagerstroemiaceae,Myrtales,NA,Bryophytes
Lawsoniaceae,Myrtales,NA,Bryophytes
Leptospermaceae,Myrtales,NA,Bryophytes
Lopeziaceae,Myrtales,NA,Bryophytes
Melaleucaceae,Myrtales,NA,Bryophytes
Memecylaceae,Myrtales,NA,Bryophytes
Miconiaceae,Myrtales,NA,Bryophytes
Mouririaceae,Myrtales,NA,Bryophytes
Myrobalanaceae,Myrtales,NA,Bryophytes
Myrrhiniaceae,Myrtales,NA,Bryophytes
Oenotheraceae,Myrtales,NA,Bryophytes
Oliniaceae,Myrtales,NA,Bryophytes
Plectroniaceae,Myrtales,NA,Bryophytes
Psiloxylaceae,Myrtales,NA,Bryophytes
Punicaceae,Myrtales,NA,Bryophytes
Rhexiaceae,Myrtales,NA,Bryophytes
Rhynchocalycaceae,Myrtales,NA,Bryophytes
Sheadendraceae,Myrtales,NA,Bryophytes
Sonneratiaceae,Myrtales,NA,Bryophytes
Terminaliaceae,Myrtales,NA,Bryophytes
Trapaceae,Myrtales,NA,Bryophytes
Emmotaceae,NearGarryales,NA,Bryophytes
ex-Icacinaceae,NearGarryales,NA,Bryophytes
Iodaceae,NearGarryales,NA,Bryophytes
Phytocrenaceae,nearGarryales,NA,Bryophytes
Pleurisanthaceae,nearGarryales,NA,Bryophytes
Sarcostigmataceae,nearGarryales,NA,Bryophytes
Stixaceae,"nearResedaceae,Brassicales",NA,Bryophytes
Barclayaceae,Nymphaeales,NA,Bryophytes
Euryalaceae,Nymphaeales,NA,Bryophytes
Hydropeltidaceae,Nymphaeales,NA,Bryophytes
Nupharaceae,Nymphaeales,NA,Bryophytes
Pycnanthaceae,Orchidaceae,NA,Bryophytes
Aristoteliaceae,Oxalidales,NA,Bryophytes
Averrhoaceae,Oxalidales,NA,Bryophytes
Baueraceae,Oxalidales,NA,Bryophytes
Belangeraceae,Oxalidales,NA,Bryophytes
Callicomaceae,Oxalidales,NA,Bryophytes
Cnestidaceae,Oxalidales,NA,Bryophytes
Davidsoniaceae,Oxalidales,NA,Bryophytes
Eucryphiaceae,Oxalidales,NA,Bryophytes
Spiraeanthemaceae,Oxalidales,NA,Bryophytes
Tetrathecaceae,Oxalidales,NA,Bryophytes
Tremandraceae,Oxalidales,NA,Bryophytes
Acanthochlamydaceae,Pandanales,NA,Bryophytes
Barbaceniaceae,Pandanales,NA,Bryophytes
Croomiaceae,Pandanales,NA,Bryophytes
Freycinetiaceae,Pandanales,NA,Bryophytes
Lacandoniaceae,Pandanales,NA,Bryophytes
Pentastemonaceae,Pandanales,NA,Bryophytes
Roxburghiaceae,Pandanales,NA,Bryophytes
Quintiniaceae,Paracryphiales,NA,Bryophytes
Sphenostemonaceae,Paracryphiales,NA,Bryophytes
Japonoliriaceae,Petrosaviales,NA,Bryophytes
Miyoshiaceae,Petrosaviales,NA,Bryophytes
Abietaceae,Pinales,NA,Bryophytes
Acmopylaceae,Pinales,NA,Bryophytes
Amentotaxaceae,Pinales,NA,Bryophytes
Arceuthidaceae,Pinales,NA,Bryophytes
Arthrotaxidaceae,Pinales,NA,Bryophytes
Austrotaxaceae,Pinales,NA,Bryophytes
Callitraceae,Pinales,NA,Bryophytes
Cedraceae,Pinales,NA,Bryophytes
Cephalotaxaceae,Pinales,NA,Bryophytes
Cryptomeriaceae,Pinales,NA,Bryophytes
Cunninghamiaceae,Pinales,NA,Bryophytes
Cupressaceae,Pinales,NA,Bryophytes
Dacrycarpaceae,Pinales,NA,Bryophytes
Diselmaceae,Pinales,NA,Bryophytes
Falcatifoliaceae,Pinales,NA,Bryophytes
Fitzroyaceae,Pinales,NA,Bryophytes
Halocarpaceae,Pinales,NA,Bryophytes
Juniperaceae,Pinales,NA,Bryophytes
Libocedraceae,Pinales,NA,Bryophytes
Metasequioaceae,Pinales,NA,Bryophytes
Microbiotaceae,Pinales,NA,Bryophytes
Microcachrydaceae,Pinales,NA,Bryophytes
Microstrobaceae,Pinales,NA,Bryophytes
Nageiaceae,Pinales,NA,Bryophytes
Neocallitropsidaceae,Pinales,NA,Bryophytes
Parasitaxaceae,Pinales,NA,Bryophytes
Pherosphaeraceae,Pinales,NA,Bryophytes
Phyllocladaceae,Pinales,NA,Bryophytes
Piceaceae,Pinales,NA,Bryophytes
Pilgerodendraceae,Pinales,NA,Bryophytes
Platycladaceae,Pinales,NA,Bryophytes
Prumnopityaceae,Pinales,NA,Bryophytes
Saxegotheaceae,Pinales,NA,Bryophytes
Sequoiaceae,Pinales,NA,Bryophytes
Taiwaniaceae,Pinales,NA,Bryophytes
Tetraclinaceae,Pinales,NA,Bryophytes
Thujaceae,Pinales,NA,Bryophytes
Thujopsidaceae,Pinales,NA,Bryophytes
Torreyaceae,Pinales,NA,Bryophytes
Widdringtoniaceae,Pinales,NA,Bryophytes
Asaraceae,Piperales,NA,Bryophytes
Peperomiaceae,Piperales,NA,Bryophytes
Abolbodaceae,Poales,NA,Bryophytes
Aegilopaceae,Poales,NA,Bryophytes
Agrostidaceae,Poales,NA,Bryophytes
Alopecuraceae,Poales,NA,Bryophytes
Andropogonaceae,Poales,NA,Bryophytes
Anomochloaceae,Poales,NA,Bryophytes
Anthoxanthaceae,Poales,NA,Bryophytes
Arundinaceae,Poales,NA,Bryophytes
Arundinellaceae,Poales,NA,Bryophytes
Asperellaceae,Poales,NA,Bryophytes
Avenaceae,Poales,NA,Bryophytes
Bambusaceae,Poales,NA,Bryophytes
Bromaceae,Poales,NA,Bryophytes
Chaeturaceae,Poales,NA,Bryophytes
Chloridaceae,Poales,NA,Bryophytes
Coeleanthaceae,Poales,NA,Bryophytes
Cynodontaceae,Poales,NA,Bryophytes
Cynosuraceae,Poales,NA,Bryophytes
Echinariaceae,Poales,NA,Bryophytes
Ehrhartaceae,Poales,NA,Bryophytes
Elegiaceae,Poales,NA,Bryophytes
Eragrostidaceae,Poales,NA,Bryophytes
Festucaceae,Poales,NA,Bryophytes
Glyceriaceae,Poales,NA,Bryophytes
Gramineae,Poales,NA,Bryophytes
Holcaceae,Poales,NA,Bryophytes
Hopkinsiaceae,Poales,NA,Bryophytes
Hordeaceae,Poales,NA,Bryophytes
Kobresiaceae,Poales,NA,Bryophytes
Laguraceae,Poales,NA,Bryophytes
Lepturaceae,Poales,NA,Bryophytes
Loliaceae,Poales,NA,Bryophytes
Lyginiaceae,Poales,NA,Bryophytes
Mapaniaceae,Poales,NA,Bryophytes
Melicaceae,Poales,NA,Bryophytes
Miliaceae,Poales,NA,Bryophytes
Nardaceae,Poales,NA,Bryophytes
Olyraceae,Poales,NA,Bryophytes
Ophiuraceae,Poales,NA,Bryophytes
Oryzaceae,Poales,NA,Bryophytes
Panicaceae,Poales,NA,Bryophytes
Pappophoraceae,Poales,NA,Bryophytes
Papyraceae,Poales,NA,Bryophytes
Parianaceae,Poales,NA,Bryophytes
Paspalaceae,Poales,NA,Bryophytes
Phalaridaceae,Poales,NA,Bryophytes
Pharaceae,Poales,NA,Bryophytes
Phleaceae,Poales,NA,Bryophytes
Prioniaceae,Poales,NA,Bryophytes
Saccharaceae,Poales,NA,Bryophytes
Scirpaceae,Poales,NA,Bryophytes
Scleriaceae,Poales,NA,Bryophytes
Sesleriaceae,Poales,NA,Bryophytes
Sparganiaceae,Poales,NA,Bryophytes
Spartinaceae,Poales,NA,Bryophytes
Sporobolaceae,Poales,NA,Bryophytes
Stipaceae,Poales,NA,Bryophytes
Streptochaetaceae,Poales,NA,Bryophytes
Tillandsiaceae,Poales,NA,Bryophytes
Triticaceae,Poales,NA,Bryophytes
Zeaceae,Poales,NA,Bryophytes
Zoysiaceae,Poales,NA,Bryophytes
Lepidocarpaceae,Proteales,NA,Bryophytes
Aconitaceae,Ranunculales,NA,Bryophytes
Actaeaceae,Ranunculales,NA,Bryophytes
Anemonaceae,Ranunculales,NA,Bryophytes
Aquilegiaceae,Ranunculales,NA,Bryophytes
Calthaceae,Ranunculales,NA,Bryophytes
Chelidoniaceae,Ranunculales,NA,Bryophytes
Cimicifugaceae,Ranunculales,NA,Bryophytes
Clematidaceae,Ranunculales,NA,Bryophytes
Corydalaceae,Ranunculales,NA,Bryophytes
Decaisneaceae,Ranunculales,NA,Bryophytes
Delphiniaceae,Ranunculales,NA,Bryophytes
Diphylleiaceae,Ranunculales,NA,Bryophytes
Epimediaceae,Ranunculales,NA,Bryophytes
Eschscholziaceae,Ranunculales,NA,Bryophytes
Fumariaceae,Ranunculales,NA,Bryophytes
Glaucidiaceae,Ranunculales,NA,Bryophytes
Helleboraceae,Ranunculales,NA,Bryophytes
Hydrastidaceae,Ranunculales,NA,Bryophytes
Hypecoaceae,Ranunculales,NA,Bryophytes
Kingdoniaceae,Ranunculales,NA,Bryophytes
Leonticaceae,Ranunculales,NA,Bryophytes
Nandinaceae,Ranunculales,NA,Bryophytes
Nigellaceae,Ranunculales,NA,Bryophytes
Platystemonaceae,Ranunculales,NA,Bryophytes
Podophyllaceae,Ranunculales,NA,Bryophytes
Pseliaceae,Ranunculales,NA,Bryophytes
Pteridophyllaceae,Ranunculales,NA,Bryophytes
Ranzaniaceae,Ranunculales,NA,Bryophytes
Sargentodoxaceae,Ranunculales,NA,Bryophytes
Sinofranchetiaceae,Ranunculales,NA,Bryophytes
Thalictraceae,Ranunculales,NA,Bryophytes
Agrimoniaceae,Rosales,NA,Bryophytes
Alchemillaceae,Rosales,NA,Bryophytes
Amygdalaceae,Rosales,NA,Bryophytes
Artocarpaceae,Rosales,NA,Bryophytes
Cecropiaceae,Rosales,NA,Bryophytes
Celtidaceae,Rosales,NA,Bryophytes
Cercocarpaceae,Rosales,NA,Bryophytes
Chamaemoraceae,Rosales,NA,Bryophytes
Coleogynaceae,Rosales,NA,Bryophytes
Cydoniaceae,Rosales,NA,Bryophytes
Dorsteniaceae,Rosales,NA,Bryophytes
Dryadaceae,Rosales,NA,Bryophytes
Ficaceae,Rosales,NA,Bryophytes
Fragariaceae,Rosales,NA,Bryophytes
Frangulaceae,Rosales,NA,Bryophytes
Gouaniaceae,Rosales,NA,Bryophytes
Hippophaeaceae,Rosales,NA,Bryophytes
Humulaceae,Rosales,NA,Bryophytes
Lindleyaceae,Rosales,NA,Bryophytes
Lupulaceae,Rosales,NA,Bryophytes
Malaceae,Rosales,NA,Bryophytes
Mespilaceae,Rosales,NA,Bryophytes
Neilliaceae,Rosales,NA,Bryophytes
Phylicaceae,Rosales,NA,Bryophytes
Potentillaceae,Rosales,NA,Bryophytes
Poteriaceae,Rosales,NA,Bryophytes
Prunaceae,Rosales,NA,Bryophytes
Pyraceae,Rosales,NA,Bryophytes
Rhodotypaceae,Rosales,NA,Bryophytes
Sanguisorbaceae,Rosales,NA,Bryophytes
Sorbaceae,Rosales,NA,Bryophytes
Spiraeaceae,Rosales,NA,Bryophytes
